Feature,Importance,CumSumImportance
LORS_ThisSideTimestampQuarts_0_0,0.00092628156,0.9367214
LHD_OppSidePulledVolume_0_10000,0.00092390116,0.93764526
LS_OppSideTotalOrders_4,0.00092141633,0.9385667
PAV_ThisSidePriceAt_200_10,0.00091717683,0.9394839
PT_OppSideTopTradedVolume_1000,0.0009077459,0.9403916
PAV_OppSidePriceAt_25_100,0.00090592203,0.94129753
LHD_ThisSidePulledVolume_1_100000,0.00089321437,0.94219077
FFL_BFratio_10,0.00088892825,0.9430797
LS_ThisSideNewOrderAge_4,0.00087964395,0.94395936
LSD_ThisSideTotalVolume_1_10000,0.0008717826,0.94483113
PAV_OppSidePriceAt_50_100000,0.0008694523,0.9457006
LORS_OppSideTimestampQuarts_1_1,0.00086368114,0.94656426
LHD_OppSidePulledVolume_1_10,0.00086082175,0.94742507
PAV_OppSidePriceAt_100_1000,0.00085930864,0.9482844
LHD_OppSidePulledVolume_0_1000000,0.00085742906,0.9491418
PAV_OppSidePriceAt_500_10,0.00084580365,0.9499876
PAV_OppSidePriceAt_50_10000,0.00084133085,0.9508289
PAV_ThisSidePriceAt_100_100000,0.00084021187,0.9516691
LSD_ThisSideTotalVolume_0_100,0.00083368784,0.9525028
LH_ThisSideMaxVolumeRatio_4,0.0008229936,0.9533258
PAV_ThisSidePriceAt_500_1,0.00082215964,0.954148
PT_TradedPrice_2500000,0.00082037767,0.9549684
FFL_TotalBFlips_1,0.0008148855,0.9557833
PAV_OppSidePriceAt_500_1,0.00081116264,0.95659447
LHD_OppSidePulledVolume_0_1000,0.000809498,0.95740396
FFL_BFratio_100,0.000806026,0.95821
LSD_OppSideTotalVolume_0_10000,0.00080377766,0.95901376
LS_ThisSideNewOrderAge_3,0.00079969264,0.9598135
PAV_OppSidePriceAt_200_10,0.00079948123,0.96061295
LS_OppSideTotalVolume_2,0.00079577544,0.96140873
LORS_OppSideVolInFrontOfMaxOrder_0,0.00079190335,0.96220064
LORS_OppSideTimestampQuarts_0_1,0.0007905985,0.96299124
LORS_ThisSideVolInFrontOfMaxOrder_1,0.0007834248,0.9637747
